question_id,question,reviewed_static_core_question,source_url,source_title,source_relevant,answer_supported_by_source,question_fully_answered,temporal_claim_supported,high_stakes_or_current,original_question_promote,static_core_promote,gold_evidence_quote,reason,evidence_gap,reviewer_model,reviewer_provenance
CH-0011,Mô hình ngôn ngữ lớn LLM hoạt động như thế nào mới nhất năm nay (Mã CH-0011)?,,https://vi.wikipedia.org/wiki/M%C3%B4_h%C3%ACnh_ng%C3%B4n_ng%E1%BB%AF_l%E1%BB%9Bn,Mô hình ngôn ngữ lớn,True,True,False,False,True,False,False,"Một mô hình ngôn ngữ lớn (LLM) là một mô hình ngôn ngữ với khả năng tổng quát trong việc tạo ngôn ngữ và các tác vụ xử lý ngôn ngữ tự nhiên khác. LLM có được khả năng này bằng cách học các mối quan hệ thống kê từ các văn bản trong quá trình huấn luyện tự giám sát và bán giám sát có độ phức tạp tính toán cao. LLM có thể được sử dụng cho việc tạo văn bản, một dạng trí tuệ nhân tạo tạo sinh, bằng cách nhận đầu vào văn bản và liên tục dự đoán token hoặc từ tiếp theo.","The candidate answer verbatim matches the supplied Wikipedia excerpt, so its statements are supported by the source. However the user asked for the ""mới nhất năm nay"" (latest this year). The source provides a general description of how LLMs work but contains no information about recent or year-specific developments, so it does not fully answer the temporally framed question. Because the question includes a current/temporal element, original-question promotion is disallowed. Removing the temporal phrase yields a static core question that the source does answer, so static-core promotion is allowed.","The source gives only a high-level, general description of LLM operation (learning statistical relationships via self-supervised/semi-supervised training and next-token prediction). It does not provide any year-specific or ""latest"" updates, details about recent architectural changes, training/data practices, benchmarking, or other developments for the current year.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0012,Diễn biến thị trường chứng khoán Việt Nam tuần qua mới nhất năm nay (Mã CH-0012)?,,https://vi.wikipedia.org/wiki/Thị_trường_chứng_khoán_Việt_Nam,Thị trường chứng khoán Việt Nam - Wikipedia,False,False,False,False,True,False,False,,"Nguồn cung cấp (source_text) trống, nên không có cơ sở chứng thực cho bất kỳ khẳng định nào trong câu trả lời ứng viên. Vì câu hỏi yêu cầu thông tin thời gian thực (diễn biến tuần qua), cần dữ liệu thị trường hoặc bản tin tuần từ nguồn đáng tin cậy nhưng nguồn đính kèm không chứa nội dung đó.","Không có văn bản nguồn để trích dẫn; thiếu số liệu chỉ số (VN-Index, HNX-Index), ngày/tuần cụ thể, diễn biến tăng/giảm, khối lượng giao dịch hoặc tin tức vĩ mô liên quan. Không có dẫn chứng nào hỗ trợ các đề xuất trang web trong câu trả lời ứng viên.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0013,Quy định về thời giờ làm việc và nghỉ ngơi theo Luật Lao động mới nhất năm nay (Mã CH-0013)?,,https://vanban.chinhphu.vn/?pageid=27160&docid=198540,Bộ Luật Lao động 45/2019/QH14,False,False,False,False,True,False,False,,"The provided record includes a source_url and title but the source_text field is empty. Per the review instructions, I must use only the supplied source_text to verify claims. Because that text is not present, I cannot determine whether the candidate answer correctly reflects the law. The question requests the 'latest' law (a temporal/current claim), so this is a current/temporal matter and cannot be promoted without verifiable source material.","Missing the actual content of the cited law (no text, no quoted articles or sections). Specific claims that cannot be verified include: normal working time limits (8 hours/day, 48 hours/week), overtime caps (40 hours/month, 200 or 300 hours/year), minimum break durations (30 minutes day / 45 minutes night), and annual leave entitlement (12 days/year and accrual increases). No article numbers, sections, or verbatim law text are provided to substantiate any of these points.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0014,Chế độ ăn uống cho người bị tiểu đường tuýp 2 mới nhất năm nay (Mã CH-0014)?,,https://en.wikipedia.org/wiki/Diabetic_diet,Diabetic diet - Wikipedia,False,False,False,False,True,False,False,,"Không có văn bản nguồn được cung cấp để so sánh với câu trả lời ứng viên. Theo quy tắc đánh giá, chỉ được dùng nội dung trong 'source_text' — nhưng trường đó trống. Vì vậy không thể xác nhận tính chính xác, tính cập nhật của câu trả lời, hoặc bối cảnh nguồn (ví dụ năm xuất bản, tổ chức phát hành).","Vắng nội dung nguồn: không có trích dẫn, không có đoạn văn bản từ Wikipedia hoặc tài liệu hướng dẫn y tế, không có ngày/phiên bản. Thiếu bằng chứng cho từng khuyến nghị cụ thể (GI thấp cho thực phẩm được liệt kê; số bữa ăn 5–6/ngày; tỷ lệ đĩa ăn). Thiếu tham chiếu tới hướng dẫn chuyên gia (ví dụ Hiệp hội Đái tháo đường) để hỗ trợ khuyến cáo y tế.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0015,Thông tin các chương trình học bổng du học toàn phần mới nhất năm nay (Mã CH-0015)?,,https://en.wikipedia.org/wiki/Scholarship,Scholarship - Wikipedia,False,False,False,False,True,False,False,,"Nguồn được cung cấp (source_text) rỗng, nên không có bằng chứng để xác nhận bất kỳ luận điểm nào trong câu trả lời ứng viên. Thêm nữa, câu hỏi yêu cầu thông tin ""mới nhất/năm nay"", đây là yêu cầu theo thời gian nên cần nguồn cập nhật; vì không có nội dung nguồn, không thể hỗ trợ xác thực.","Không có văn bản nguồn. Cần trích dẫn chính thức cho mỗi học bổng (tên chương trình, phạm vi tài trợ, cấp độ học, hạn nộp, điều kiện ứng tuyển, trang chủ/nguồn), và bằng chứng thời gian (năm/đợt tuyển) để xác nhận tính ""mới nhất"".",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0016,Các triều đại phong kiến kéo dài nhất trong lịch sử Việt Nam mới nhất năm nay (Mã CH-0016)?,,https://en.wikipedia.org/wiki/History_of_Vietnam,History of Vietnam,False,False,False,False,False,False,False,,"Không có văn bản nguồn được cung cấp (source_text trống), nên không thể kiểm tra rằng phần trả lời ứng viên được rút ra từ nguồn hay rằng nó trả lời đúng câu hỏi. Phần trả lời ứng viên chỉ là một đoạn giới thiệu lịch sử chung từ Wikipedia và không chứa danh sách triều đại hay thông tin về độ dài thời kỳ trị vì.","source_text trống — không có đoạn nào liệt kê tên các triều đại hoặc thời gian trị vì. Ứng viên cũng không cung cấp dữ liệu cụ thể cần thiết (tên triều đại + số năm), do đó không thể xác minh hoặc sửa chữa câu trả lời dựa trên nguồn.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0017,Sự phát triển của dòng nhạc Pop hiện đại trên thế giới mới nhất năm nay (Mã CH-0017)?,,https://vi.wikipedia.org/wiki/Pop,Pop,False,True,False,False,False,False,False,"Nhạc pop là một thể loại của nhạc đương đại và rất phổ biến trong làng nhạc đại chúng. Nhạc pop khởi đầu từ thập niên 1950 và có nguồn gốc từ dòng nhạc rock and roll. Thuật ngữ này không cho biết một cách chính xác về thể loại nhạc hay âm thanh riêng nào mà nghĩa của nó lại rất khác nhau phụ thuộc vào từng khoảng thời gian trong lịch sử của nó và từng địa điểm khác nhau trên thế giới. Trong giới âm nhạc đại chúng thì nhạc pop thường được phân biệt với các thể loại khác nhờ một số đặc điểm về phong cách nghệ thuật, những giai điệu đơn giản dễ nghe, cùng với một số đoạn trong bài hát được lặp đi lặp lại. Ca từ của nhạc pop thường nói đến tình yêu, cảm xúc và một số chủ đề khác.","The candidate answer quotes the supplied Wikipedia text verbatim, so its statements are supported by the source. However the user's question asks for the latest developments 'năm nay', and the source contains only a general definition/history and characteristics of pop music (origins in the 1950s) with no recent-year or 'this year' information. Therefore the candidate answer does not actually answer the temporal/requested part of the question.","Source lacks any year-specific or recent information: no data about developments in the current year, no trends, examples, artists, charts, technological or market changes, or geographic/regional developments for 'năm nay'.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0018,Giải pháp năng lượng tái tạo từ điện gió và điện mặt trời mới nhất năm nay (Mã CH-0018)?,,https://vi.wikipedia.org/wiki/N%C4%83ng_l%C6%B0%E1%BB%A3ng_t%C3%A1i_t%E1%BA%A1o,Năng lượng tái tạo,True,True,False,False,True,False,False,"Năng lượng tái tạo hay năng lượng tái sinh là năng lượng từ những nguồn liên tục mà theo chuẩn mực của con người là vô hạn như năng lượng mặt trời, gió, mưa, thủy triều, sóng và địa nhiệt.","Ứng viên trích dẫn đúng đoạn định nghĩa có trong nguồn cung cấp (hỗ trợ = true). Nhưng câu hỏi yêu cầu thông tin cập nhật ""mới nhất năm nay"" (mang tính thời sự), và nguồn chỉ chứa định nghĩa chung, không có chi tiết về các giải pháp, công nghệ hay phát triển mới trong năm. Vì vậy câu hỏi không được trả lời đầy đủ và không thể thăng cấp nguyên bản hay phiên bản loại bỏ yếu tố thời gian.","Nguồn thiếu thông tin cụ thể về các giải pháp (ví dụ: công nghệ, thiết kế, dự án, cải tiến kỹ thuật, nhà cung cấp, hoặc năm/phát triển gần đây) liên quan tới điện gió và điện mặt trời; không có dữ liệu hoặc tham chiếu nào cho ""mới nhất năm nay"".",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0019,Mẹo chọn mua máy giặt tiết kiệm điện nước cho gia đình mới nhất năm nay (Mã CH-0019)?,,https://en.wikipedia.org/wiki/Washing_machine,Washing machine - Wikipedia,False,False,False,False,True,False,False,,"No source text was provided (source_text is empty), so none of the candidate answer's factual claims can be confirmed. Because the question requests 'mới nhất năm nay' (time-sensitive/current), verification from up-to-date sources is required before promoting or endorsing the answer.","Missing evidence for: (1) claimed water/electricity savings percentages for front-load vs top-load machines; (2) assertion to 'choose 5-star energy label' and what that label represents; (3) recommended capacity ranges (4–6kg, 7–9kg) tied to household sizes; (4) recommended features (eco mode, timer) and their quantified impact on consumption; (5) specific energy consumption threshold 'under 0.5 kWh/kg' and its basis; (6) endorsement of particular brands (LG, Samsung, Electrolux, Panasonic) as 'đáng tin' with supporting reliability/efficiency data; (7) any up-to-date guidance corresponding to 'năm nay'.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0020,Chế độ dinh dưỡng cho người tập Gym muốn tăng cơ giảm mỡ mới nhất năm nay (Mã CH-0020)?,,https://en.wikipedia.org/wiki/Sports_nutrition,Sports nutrition - Wikipedia,False,False,False,False,True,False,False,,"Trang nguồn được chỉ định (Wikipedia: Sports nutrition) không kèm theo nội dung (source_text trống), nên không có bằng chứng trực tiếp trong tài liệu được cung cấp để hỗ trợ hoặc bác bỏ các khẳng định của câu trả lời. Vì câu hỏi chứa cụm từ 'mới nhất/năm nay' nên nó có yếu tố thời sự; không thể chấp thuận việc 'promote' câu hỏi gốc hoặc phiên bản tĩnh khi không có nội dung nguồn để chứng thực.","Thiếu mọi đoạn trích hoặc bằng chứng từ nguồn để chứng thực các phần sau của câu trả lời ứng viên: (1) phạm vi protein 1.6–2.2 g/kg; (2) khuyến nghị carbohydrate 3–5 g/kg; (3) khuyến nghị chất béo 20–30% tổng calo; (4) thời điểm ăn trước/sau tập và khung thời gian cụ thể; (5) uống 2–3 l nước/ngày; (6) con số thâm hụt calo 200–300 kcal/ngày; (7) bất kỳ tham chiếu đến nghiên cứu, hướng dẫn lâm sàng hoặc nguồn đáng tin cậy nào hỗ trợ các con số trên.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0021,Quy định mới về an toàn thông tin mạng tại Việt Nam mới nhất năm nay (Mã CH-0021)?,,https://vi.wikipedia.org/wiki/An_toàn_thông_tin,An toàn thông tin - Wikipedia,False,False,False,False,True,False,False,,"Nguồn văn bản (source_text) trống nên không có bằng chứng để đối chiếu các tuyên bố trong candidate answer. Vì vậy không thể xác nhận answer được hỗ trợ bởi nguồn, câu hỏi không được trả lời đầy đủ theo nguồn cung cấp, và các khẳng định mang tính thời sự/ pháp luật cần nguồn chính thức để kiểm chứng.","Thiếu trích dẫn hoặc đoạn văn bản từ nguồn gồm: (1) nội dung trang Wikipedia được liên kết (toàn bộ phần liên quan tới pháp luật, nghị định, sửa đổi mới nhất); (2) văn bản chính thức của Nghị định 13/2023/NĐ-CP (số, ngày ban hành, ngày hiệu lực) nếu đó là cơ sở; (3) các điều khoản cụ thể về sự đồng ý khi thu thập dữ liệu, đăng ký tổ chức xử lý dữ liệu (với cơ quan nào), quyền xóa/sửa/xuất dữ liệu; (4) quy định về mức xử phạt (ví dụ ""đến 5% doanh thu"") có trích dẫn; (5) đoạn trích Luật An ninh mạng 2018 liên quan đến yêu cầu lưu trữ dữ liệu trong nước. Cung cấp những đoạn văn bản này sẽ cho phép xác minh và chỉnh sửa answer.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0022,Xu hướng giá vàng thế giới và trong nước mới nhất năm nay (Mã CH-0022)?,,https://en.wikipedia.org/wiki/Gold_price,Gold price - Wikipedia,False,False,False,False,True,False,False,,"The source_text is empty, so there is no evidence in the supplied source to support any factual claims. The candidate's reply is generic and does not supply the requested ""latest this year"" trend data (numbers, dates, or citations). Therefore the answer is not supported and the question is not fully answered.","Missing source content and specific data: (1) Time‑stamped gold price series or snapshots (current USD/oz and YTD % change) from LBMA/COMEX or a cited market; (2) Recent domestic SJC prices (VND/gram) and the premium/spread versus world price with dates; (3) Citations to authoritative references (LBMA, COMEX, SJC, Vietcombank or NHNN) that substantiate claimed drivers and current trend; (4) Clear statement of the timeframe ('mới nhất năm nay' dates). Without these items the candidate answer cannot be validated against the supplied source.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0023,Mức phạt vi phạm nồng độ cồn khi điều khiển xe máy năm nay mới nhất năm nay (Mã CH-0023)?,,https://vanban.chinhphu.vn/?pageid=27160&docid=212167&classid=1&orggroupid=2,Nghị định 168/2024/NĐ-CP,False,False,False,False,True,False,False,,"The source_text field is empty, so there is no material in the supplied source to confirm any part of the candidate answer. Therefore source_relevant and all support/temporal flags are false. The topic concerns legal penalties (current regulatory information), which is a high-stakes/current category, so high_stakes_or_current is true. Promotion flags are false because the source does not directly answer or support the question.","Missing: the actual text of the cited legal document(s) (Nghị định) including article/paragraph that define alcohol concentration thresholds, the exact penalty amounts and ranges, and the specified durations for license suspension. Also missing is a clear publication or effective date to substantiate the temporal claim ('năm nay' / 2024).",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0024,Các loại vắc xin cần tiêm cho trẻ sơ sinh dưới 1 tuổi mới nhất năm nay (Mã CH-0024)?,,https://en.wikipedia.org/wiki/Immunization_schedule,Immunization schedule - Wikipedia,False,False,False,False,True,False,False,,"Nguồn văn bản được cung cấp trống (không có nội dung), nên không có chứng cứ để xác nhận hoặc bác bỏ các tuyên bố trong câu trả lời ứng viên. Do đó không thể chấp nhận, thúc đẩy hay rút gọn câu hỏi gốc dựa trên nguồn này. Thêm vào đó, câu hỏi liên quan tới hướng dẫn y tế cho trẻ nhỏ (mức rủi ro cao nếu sai), nên cần nguồn chính thức.","Thiếu toàn bộ nội dung nguồn cần thiết: cần một tài liệu chính thức nêu rõ lịch tiêm chủng cho trẻ <1 tuổi (quốc gia cụ thể: Việt Nam), liệt kê vắc xin theo từng mốc tuổi (sinh, 2, 3, 4 tháng, 9 tháng, v.v.), xác nhận tên các vaccine dùng (BCG, Viêm gan B, DTP-HepB-Hib hay 5 trong 1, OPV/IPV, sởi, ...), và xác nhận bất kỳ thay đổi nào 'mới nhất/năm nay'.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
CH-0025,Hiện tượng nhật thực toàn phần xảy ra khi nào mới nhất năm nay (Mã CH-0025)?,,https://vi.wikipedia.org/wiki/Nh%E1%BA%ADt_th%E1%BB%B1c,Nhật thực,True,True,False,True,True,False,False,"Nhật thực xảy ra khi Mặt Trăng đi qua giữa Trái Đất và Mặt Trời trên cùng một đường thẳng và quan sát từ Trái Đất, lúc đó Mặt Trăng che khuất hoàn toàn hay một phần Mặt Trời. Điều này chỉ có thể xảy ra tại thời điểm trăng non khi nhìn từ Trái Đất, lúc Mặt Trời bị Mặt Trăng che khuất và bóng của Mặt Trăng phủ lên Trái Đất. Trong lúc nhật thực toàn phần, đĩa Mặt Trời bị che khuất hoàn toàn. Với nhật thực một phần hoặc hình khuyên, đĩa Mặt Trời chỉ bị che khuất một phần.","Ứng viên trả lời bằng đoạn trích định nghĩa từ cùng nguồn — phần này được nguồn hỗ trợ, nên 'answer_supported_by_source' = true. Tuy nhiên câu hỏi yêu cầu một mốc thời gian cụ thể (“mới nhất năm nay”); nguồn được cung cấp không chứa bất kỳ ngày hoặc thông tin về sự kiện nhật thực cụ thể nào trong năm, nên câu hỏi không được trả lời đầy đủ. Vì câu hỏi đòi hỏi thông tin thời-sự (most recent this year), đây là một yêu cầu nhạy cảm với thời điểm, nên không thể khuyến nghị đưa nguyên câu hỏi gốc lên (original_question_promote = false) hay thực hiện chuyển thành câu “static core” trả lời được từ nguồn (static_core_promote = false).","Thiếu bất kỳ ngày, thời điểm hoặc danh sách các nhật thực (bao gồm nhật thực toàn phần) diễn ra trong năm hiện tại; nguồn chỉ chứa định nghĩa/giải thích chung về cơ chế nhật thực.",gpt-5-mini,independent_llm_review_of_supplied_source_only; not human review
